no_sequentiel	no_trame	ordre_dans_trame	nom_trame
1536	133	10	L’avenir
1537	31	8	Questions avec réponse
1538	137	10	Peurs
1539	121	7	Choses à vouloir
1540	73	8	Virages
1541	76	12	Avatars
1542	104	10	Inquiétudes
1543	80	8	Cinquains
1544	135	10	Zed et Chico
1545	128	7	Ferveurs
1546	82	3	Moncton
1547	67	10	Carnets de Terry
1548	133	8	L’avenir
1549	78	12	Accidents
1550	130	10	Le travail
1551	56	12	Pèlerinages
1552	134	9	Marianne
1553	120	3	Fictionnaire
1554	73	7	Virages
1555	128	1	Ferveurs
1556	23	8	Patates
1557	77	2	Grammaire
1558	82	11	Moncton
1559	80	3	Cinquains
1560	106	4	Us et coutumes
1561	75	11	Tankas
1562	121	6	Choses à vouloir
1563	132	5	Lapsus
1564	139	9	Étienne et Chico
1565	67	11	Carnets de Terry
1566	34	3	Lacan
1567	129	1	Fantasmes
1568	139	7	Étienne et Chico
1569	58	8	Prolongements
1570	20	1	Langue
1571	17	3	Hasards
1572	16	12	L’Infirme
1573	121	3	Choses à vouloir
1574	85	11	La Bourse
1575	103	10	Disparitions
1576	130	1	Le travail
1577	119	11	La musique
1578	125	4	La sexualité
1579	111	8	Outils
1580	88	5	La liberté
1581	116	11	Vrai ou faux
1582	37	12	Histoires d’animaux
1583	104	6	Inquiétudes
1584	125	7	La sexualité
1585	144	12	Exergues
1586	101	4	Duos
1587	77	9	Grammaire
1588	88	7	La liberté
1589	57	12	Photocopies
1590	102	10	Le trio
1591	68	2	Projets
1592	86	8	Excuses
1593	132	2	Lapsus
1594	88	11	La liberté
1595	56	6	Pèlerinages
1596	126	4	Techniques
1597	80	11	Cinquains
1598	47	4	Abandons
1599	105	12	Réserves
1600	85	8	La Bourse
1601	107	4	Nécessités
1602	108	9	Rumeurs
1603	15	5	Monologues non identifiés
1604	94	8	Terry et Carmen
1605	78	5	Accidents
1606	94	9	Terry et Carmen
1607	128	10	Ferveurs
1608	139	11	Étienne et Chico
1609	121	8	Choses à vouloir
1610	82	12	Moncton
1611	80	7	Cinquains
1612	135	4	Zed et Chico
1613	31	7	Questions avec réponse
1614	76	4	Avatars
1615	116	9	Vrai ou faux
1616	60	11	Superstitions
1617	80	12	Cinquains
1618	104	8	Inquiétudes
1619	133	6	L’avenir
1620	140	3	Caraquet
1621	130	9	Le travail
1622	140	2	Caraquet
1623	127	10	Tactiques
1624	135	6	Zed et Chico
1625	109	11	Rêves
1626	133	1	L’avenir
1627	81	5	Titres
1628	125	8	La sexualité
1629	99	9	Noms
1630	108	10	Rumeurs
1631	75	12	Tankas
1632	135	11	Zed et Chico
1633	43	10	Amour
1634	82	4	Moncton
1635	100	8	Proverbes
1636	124	10	La religion
1637	125	5	La sexualité
1638	124	11	La religion
1639	38	8	Oignons
1640	16	10	L’Infirme
1641	24	12	Élizabeth
1642	114	11	Inventions
1643	67	7	Carnets de Terry
1644	109	5	Rêves
1645	141	12	Obsessions
1646	37	3	Histoires d’animaux
1647	56	9	Pèlerinages
1648	36	12	Fraises
1649	38	7	Oignons
1650	125	9	La sexualité
1651	93	8	Le temps
1652	64	2	Contraires
1653	81	11	Titres
1654	4	12	Scrabble
1655	80	10	Cinquains
1656	86	5	Excuses
1657	32	3	Problèmes d’examen
1658	108	12	Rumeurs
1659	9	5	Le potager
1660	140	9	Caraquet
1661	112	10	Langues
1662	140	12	Caraquet
1663	74	9	Hans
1664	135	12	Zed et Chico
1665	131	10	Parenthèse(s)
1666	133	9	L’avenir
1667	89	7	Agacements
1668	63	9	Terry et Zed
1669	79	3	Étrangetés
1670	94	11	Terry et Carmen
1671	136	12	L’inavouable
1672	110	9	Un jour de congé
1673	91	10	Le poète
1674	125	12	La sexualité
1675	105	11	Réserves
1676	139	3	Étienne et Chico
1677	67	5	Carnets de Terry
1678	96	1	Personnages
1679	126	10	Techniques
1680	102	11	Le trio
1681	106	12	Us et coutumes
1682	139	4	Étienne et Chico
1683	96	9	Personnages
1684	132	6	Lapsus
1685	88	2	La liberté
1686	141	11	Obsessions
1687	45	6	Détails inutiles
1688	125	11	La sexualité
1689	57	8	Photocopies
1690	109	1	Rêves
1691	124	12	La religion
1692	123	8	Carmen et Étienne
1693	111	5	Outils
1694	99	8	Noms
1695	128	4	Ferveurs
1696	94	12	Terry et Carmen
1697	56	11	Pèlerinages
1698	110	10	Un jour de congé
1699	95	9	Ajouts à La Bibliothèque idéale
1700	110	11	Un jour de congé
1701	56	7	Pèlerinages
1702	78	10	Accidents
1703	85	9	La Bourse
1704	117	11	La mort
1705	75	5	Tankas
1706	129	7	Fantasmes
1707	74	10	Hans
1708	123	12	Carmen et Étienne
1709	111	11	Outils
1710	85	10	La Bourse
1711	41	11	La vie des saints
1712	117	9	La mort
1713	93	1	Le temps
1714	74	11	Hans
1715	55	12	Haïkus
1716	108	4	Rumeurs
1717	121	5	Choses à vouloir
1718	139	1	Étienne et Chico
1719	96	3	Personnages
1720	85	12	La Bourse
1721	107	9	Nécessités
1722	140	10	Caraquet
1723	99	4	Noms
1724	139	12	Étienne et Chico
1725	47	2	Abandons
1726	133	12	L’avenir
1727	98	8	Expressions
1728	41	9	La vie des saints
